Project,Test,IsFlaky,NumFailingRuns,NumPassingRuns,Reason
apache-ambari,org.apache.ambari.server.api.services.serializers.JsonSerializerTest#testSerialize,0,20000,0,labeled_nonflaky_had_failures
apache-ambari,org.apache.ambari.server.controller.ganglia.GangliaPropertyProviderTest#testGetManyResources,0,10000,0,labeled_nonflaky_had_failures
apache-hbase,org.apache.hadoop.hbase.regionserver.TestStore#testIncrementColumnValue_ICVDuringFlush,0,10000,0,labeled_nonflaky_had_failures
apache-hbase,org.apache.hadoop.hbase.regionserver.TestHRegion#testFlushCacheWhileScanning,0,10000,0,labeled_nonflaky_had_failures
apache-hbase,org.apache.hadoop.hbase.regionserver.TestHRegion#testWritesWhileScanning,0,10000,0,labeled_nonflaky_had_failures
apache-hbase,org.apache.hadoop.hbase.client.TestFromClientSide#testNull,0,8011,0,labeled_nonflaky_had_failures
apache-hbase,org.apache.hadoop.hbase.client.TestFromClientSide#testPut,0,8011,0,labeled_nonflaky_had_failures
apache-hbase,org.apache.hadoop.hbase.io.TestHeapSize#testNativeSizes,0,10000,0,labeled_nonflaky_had_failures
apache-hbase,org.apache.hadoop.hbase.io.TestHeapSize#testSizes,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,mustache.specs.PartialsTest#initializationError,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,mustache.specs.LambdasTest#initializationError,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,mustache.specs.InterpolationTest#initializationError,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,mustache.specs.SectionsTest#initializationError,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,com.github.jknack.handlebars.io.ClasspathLocatorTest#subFolderwithDashAtBeginning,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,com.github.jknack.handlebars.io.ClasspathLocatorTest#subFolder,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,com.github.jknack.handlebars.io.ClasspathLocatorTest#setBasePathWithDashDash,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,com.github.jknack.handlebars.io.ClasspathLocatorTest#setBasePath,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,com.github.jknack.handlebars.io.FileLocatorTest#subFolderwithDashAtBeginning,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,com.github.jknack.handlebars.io.FileLocatorTest#subFolder,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,com.github.jknack.handlebars.io.FileLocatorTest#setBasePath,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,com.github.jknack.handlebars.io.FileLocatorTest#setBasePathWithDash,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,mustache.specs.InvertedTest#initializationError,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,mustache.specs.DelimitersTest#initializationError,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,mustache.specs.CommentsTest#initializationError,0,10000,0,labeled_nonflaky_had_failures
jknack-handlebars.java,org.apache.maven.surefire.junit4.JUnit4Provider#com.github.jknack.handlebars.springmvc.MessageSourceHelperTest,0,10000,0,labeled_nonflaky_had_failures
orbit-orbit,com.ea.orbit.actors.mongodb.test.MongodbPersistenceTest#checkReads,0,20000,0,labeled_nonflaky_had_failures
orbit-orbit,com.ea.orbit.actors.mongodb.test.MongodbPersistenceTest#checkClearState,0,20000,0,labeled_nonflaky_had_failures
orbit-orbit,com.ea.orbit.actors.mongodb.test.MongodbPersistenceTest#checkWritesTest,0,20000,0,labeled_nonflaky_had_failures
spring-projects-spring-boot,org.springframework.boot.actuate.metrics.repository.redis.RedisMetricRepositoryTests#findAll,0,8974,0,labeled_nonflaky_had_failures
spring-projects-spring-boot,org.springframework.boot.actuate.metrics.repository.redis.RedisMetricRepositoryTests#incrementAndGet,0,8974,0,labeled_nonflaky_had_failures
spring-projects-spring-boot,org.springframework.boot.actuate.metrics.repository.redis.RedisMetricRepositoryTests#setIncrementAndGet,0,8974,0,labeled_nonflaky_had_failures
